name*,version*,license*,copyrights*,end-of-support,dependencies,language,repository,email,url
activation,1.1.1,CDDL 1.0,,,,java,,,
aether-api,1.0.0.v20140518,EPL 1.0,,,,java,,,
aether-connector-basic,1.0.0.v20140518,EPL 1.0,,,,java,,,
aether-impl,1.0.0.v20140518,EPL 1.0,,,,java,,,
aether-spi,1.0.0.v20140518,EPL 1.0,,,,java,,,
aether-transport-wagon,1.0.0.v20140518,EPL 1.0,,,,java,,,
aether-util,1.0.0.v20140518,EPL 1.0,,,,java,,,
apache-mime4j,0.6,Apache 2.0,,,,java,,,
arquillian-config-api,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-config-impl-base,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-config-spi,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-container-impl-base,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-container-spi,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-container-test-api,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-container-test-impl-base,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-container-test-spi,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-core-api,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-core-impl-base,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-core-spi,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-junit-container,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-junit-core,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-protocol-servlet,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-test-api,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-test-impl-base,1.4.0.Final,Apache 2.0,,,,java,,,
arquillian-test-spi,1.4.0.Final,Apache 2.0,,,,java,,,
cache-api,1.0.0,Apache 2.0,,,,java,,,
cdi-api,2.0.SP1,Apache 2.0,,,,java,,,
commons-codec,1.11,Apache 2.0,,,,java,,,
commons-collections4,4.4,Apache 2.0,,,,java,,,
commons-compress,1.19,Apache 2.0,,,,java,,,
commons-io,2.5,Apache 2.0,,,,java,,,
commons-lang,2.6,Apache 2.0,,,,java,,,
commons-lang3,3.9,Apache 2.0,,,,java,,,
commons-math3,3.6.1,Apache 2.0,,,,java,,,
commons-text,1.8,Apache 2.0,,,,java,,,
curvesapi,1.06,BSD-3-Clause,,,,java,,,https://github.com/virtuald/curvesapi/blob/master/license.txt
gson,2.8.1,Apache 2.0,,,,java,,,
gson-fire,1.8.0,MIT,,,,java,,,
guava,25.0-jre,Apache 2.0,,,,java,,,
hamcrest-core,1.3,BSD-2-Clause,,,,java,,,
httpclient,4.5.4,Apache 2.0,,,,java,,,
httpcore,4.4.5,Apache 2.0,,,,java,,,
jackson-annotations,2.9.9,Apache 2.0,,,,java,,,
jackson-core,2.9.9,Apache 2.0,,,,java,,,
jackson-coreutils,1.0,LGPL 3.0,,,,java,,,
jackson-databind,2.9.9,Apache 2.0,,,,java,,,
jackson-jaxrs-base,2.9.9,Apache 2.0,,,,java,,,
jackson-jaxrs-json-provider,2.9.9,Apache 2.0,,,,java,,,
jackson-module-jaxb-annotations,2.9.9,Apache 2.0,,,,java,,,
javaee-api,8.0.1,CDDL 1.0;GPL 2.0,,,,java,,,
javaee-web-api,8.0.1,CDDL 1.0;GPL 2.0,,,,java,,,
javax.activation-api,1.2.0,CDDL 1.0;GPL 2.0,,,,java,,,
javax.annotation-api,1.3.2,CDDL 1.0;GPL 2.0,,,,java,,,
javax.inject,1,Apache 2.0,,,,java,,,
javax.mail,1.6.2,CDDL 1.0;GPL 2.0,,,,java,,,
javax.xml.soap-api,1.4.0,CDDL 1.0;GPL 2.0,,,,java,,,
jaxb-api,2.3.1,CDDL 1.1,,,,java,,,
jaxws-api,2.3.1,CDDL 1.0;GPL 2.0,,,,java,,,
jboss-annotations-api_1.3_spec,1.0.1.Final,CDDL 1.0;GPL 2.0,,,,java,,,
jboss-jaxb-api_2.3_spec,1.0.1.Final,CDDL 1.0;GPL 2.0,,,,java,,,
jboss-jaxrs-api_2.1_spec,1.0.2.Final,CDDL 1.0;GPL 2.0,,,,java,,,
jboss-logging,3.4.0.Final,Apache 2.0,,,,java,,,
jcip-annotations,1.0,Public,,,,java,,,
joda-time,2.3,Apache 2.0,,,,java,,,
json-patch,1.3,LGPL 3.0,,,,java,,,
jsoup,1.7.2,MIT,,,,java,,,
junit,4.12,EPL 1.0,,,,java,,,
log4j-api,2.13.1,Apache 2.0,,,,java,,,
log4j-to-slf4j,2.13.1,Apache 2.0,,,,java,,,
logging-interceptor,2.7.5,Apache 2.0,,,,java,,,
mapstruct,1.3.1.Final,Apache 2.0,,,,java,,,
maven-aether-provider,3.2.5,Apache 2.0,,,,java,,,
maven-model,3.2.5,Apache 2.0,,,,java,,,
maven-model-builder,3.2.5,Apache 2.0,,,,java,,,
maven-repository-metadata,3.2.5,Apache 2.0,,,,java,,,
maven-settings,3.2.5,Apache 2.0,,,,java,,,
maven-settings-builder,3.2.5,Apache 2.0,,,,java,,,
okhttp,2.7.5,Apache 2.0,,,,java,,,
okio,1.6.0,Apache 2.0,,,,java,,,
org.eclipse.sisu.inject,0.3.0.M1,EPL 1.0,,,,java,,,
org.eclipse.sisu.plexus,0.3.0.M1,EPL 1.0,,,,java,,,
plexus-cipher,1.4,Apache 2.0,,,,java,,,
plexus-compiler-api,2.3,Apache 2.0,,,,java,,,
plexus-compiler-javac,2.3,Apache 2.0,,,,java,,,
plexus-component-annotations,1.5.5,Apache 2.0,,,,java,,,
plexus-interpolation,1.21,Apache 2.0,,,,java,,,
plexus-sec-dispatcher,1.3,Apache 2.0,,,,java,,,
plexus-utils,3.0.20,Apache 2.0,,,,java,,,
poi,4.1.2,Apache 2.0,,,,java,,,
poi-ooxml,4.1.2,Apache 2.0,,,,java,,,
poi-ooxml-schemas,4.1.2,Apache 2.0,,,,java,,,
postgresql,9.4-1201-jdbc4,THE POSTGRESQL LICENSE,,,,java,,,
reactive-streams,1.0.2,CC0,,,,java,,,
resteasy-client,3.7.0.Final,Apache 2.0,,,,java,,,
resteasy-jackson2-provider,3.7.0.Final,Apache 2.0,,,,java,,,
resteasy-jaxb-provider,3.7.0.Final,Apache 2.0,,,,java,,,
resteasy-jaxrs,3.7.0.Final,Apache 2.0,,,,java,,,
resteasy-multipart-provider,3.7.0.Final,Apache 2.0,,,,java,,,
shrinkwrap-api,1.2.6,Apache 2.0,,,,java,,,
shrinkwrap-descriptors-api-base,2.0.0,Apache 2.0,,,,java,,,
shrinkwrap-descriptors-spi,2.0.0,Apache 2.0,,,,java,,,
shrinkwrap-impl-base,1.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-api,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-api-maven,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-api-maven-archive,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-bom,2.1.1,Apache 2.0,,,,java,,,
shrinkwrap-resolver-impl-maven,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-impl-maven-archive,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-spi,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-spi-maven,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-resolver-spi-maven-archive,2.2.6,Apache 2.0,,,,java,,,
shrinkwrap-spi,1.2.6,Apache 2.0,,,,java,,,
slf4j-api,1.7.22.jbossorg-1,MIT,,,,java,,,
SparseBitSet,1.2,Apache 2.0,,,,java,,,
swagger-annotations,1.5.18,Apache 2.0,,,,java,,,
threetenbp,1.3.5,BSD-3-Clause,,,,java,,,
validation-api,2.0.1.Final,Apache 2.0,,,,java,,,
wagon-file,2.6,Apache 2.0,,,,java,,,
wagon-http-lightweight,2.6,Apache 2.0,,,,java,,,
wagon-http-shared,2.6,Apache 2.0,,,,java,,,
wagon-provider-api,2.6,Apache 2.0,,,,java,,,
xmlbeans,3.1.0,Apache 2.0,,,,java,,,